"","NSI","piMetals","pi","piHC"
"SWARM_12025",0,0,0,0
"SWARM_12029",0,0,0,0
"SWARM_7314",0,0,0,0
"SWARM_7316",0,0,0,0
"SWARM_10880",0,0,0,0
"SWARM_10887",0,0,0,0
"SWARM_7313",0,0,0,0
"SWARM_7319",0,0,0,0
"SWARM_1259",0,0,0,0
"SWARM_1253",0,0,0,0
"SWARM_1252",0,0,0,0
"SWARM_1257",1,0,0,0
"SWARM_1256",0,0,0,0
"SWARM_1255",0,1,1,1
"SWARM_1254",0,0,0,0
"SWARM_11040",0,0,0,0
"SWARM_11041",0,0,0,0
"SWARM_11043",0,0,0,0
"SWARM_7310",0,0,0,0
"SWARM_4157",0,0,0,0
"SWARM_4156",0,0,0,0
"SWARM_4155",0,0,0,0
"SWARM_4154",0,0,0,0
"SWARM_4153",0,0,0,0
"SWARM_4152",0,0,0,0
"SWARM_4744",0,0,0,0
"SWARM_4743",0,0,0,0
"SWARM_4740",0,0,0,0
"SWARM_10310",0,0,0,0
"SWARM_10316",0,0,0,0
"SWARM_1926",0,0,0,0
"SWARM_5208",0,0,0,0
"SWARM_5206",0,0,0,0
"SWARM_5200",0,0,0,0
"SWARM_5202",0,0,0,0
"SWARM_8512",0,0,0,0
"SWARM_8511",0,0,0,0
"SWARM_8515",0,0,0,0
"SWARM_8514",0,0,0,0
"SWARM_8519",0,0,0,0
"SWARM_22359",0,0,0,0
"SWARM_22353",0,0,0,0
"SWARM_22356",0,0,0,0
"SWARM_22357",0,0,0,0
"SWARM_15593",0,0,0,0
"SWARM_16446",0,0,0,0
"SWARM_14176",0,0,0,0
"SWARM_14174",0,0,0,0
"SWARM_17527",0,0,0,0
"SWARM_17526",0,0,0,0
"SWARM_17522",0,0,0,0
"SWARM_6673",0,0,0,0
"SWARM_5226",0,0,0,0
"SWARM_11208",0,0,0,0
"SWARM_11202",0,0,0,0
"SWARM_11201",0,0,0,0
"SWARM_11206",0,0,0,0
"SWARM_11204",0,0,0,0
"SWARM_4319",0,0,0,0
"SWARM_4318",0,0,0,0
"SWARM_4315",0,0,0,0
"SWARM_4314",0,0,0,0
"SWARM_4310",0,0,0,0
"SWARM_6227",0,0,0,0
"SWARM_6226",0,0,0,0
"SWARM_6224",0,0,0,0
"SWARM_6223",0,0,0,0
"SWARM_6222",0,0,0,0
"SWARM_6220",0,0,0,0
"SWARM_6228",0,0,0,0
"SWARM_4158",0,0,0,0
"SWARM_5043",0,0,0,0
"SWARM_5040",0,0,0,0
